,sentID.BTEC,split,lang,sent,sent_kuwaiti_GPT_Translated,sent_kuwaiti,Type (B/H),Translator Initials,sent_kuwaiti_punctuation_removed,sent_punctuation_removed,sent_kuwaiti_punctuation_removed_and_tashkeel,sent_punctuation_removed_and_tashkeel,sent_kuwaiti_punctuation_removed_and_tashkeel_and_normlaized,sent_punctuation_removed_and_tashkeel_and_normlaized
6631,11131,corpus-6-test-corpus-26-dev,MSA,من فضلك لفها كل على حدة .,لو سمحت لفهم كل واحد بروحه.,لو سمحت لفهم كل وحده بروح .,H,M,لو سمحت لفهم كل وحده بروح ,من فضلك لفها كل على حدة ,لو سمحت لفهم كل وحده بروح ,من فضلك لفها كل على حدة ,لو سمحت لفهم كل وحده بروح ,من فضلك لفها كل علا حده 
6632,11132,corpus-6-train,MSA,أريد شريط لكاميرا فيديو ، من فضلك .,أبي شريط لكاميرا فيديو، لو سمحت.,أبي شريط  حق كاميرة فيديو، لو سمحت.,H,M,أبي شريط  حق كاميرة فيديو لو سمحت,أريد شريط لكاميرا فيديو  من فضلك ,أبي شريط  حق كاميرة فيديو لو سمحت,أريد شريط لكاميرا فيديو  من فضلك ,ابي شريط  حق كاميره فيديو لو سمحت,اريد شريط لكاميرا فيديو  من فضلك 
6633,11133,corpus-6-train,MSA,أخشى أنني لا أستطيع دفع أكثر من ستين دولاراً في الليلة .,أخاف ما أقدر أدفع أكثر من ستين دولار بالليلة.,أخاف ما أقدر أدفع أكثر من ستين دولار بالليلة.,H,M,أخاف ما أقدر أدفع أكثر من ستين دولار بالليلة,أخشى أنني لا أستطيع دفع أكثر من ستين دولارا في الليلة ,أخاف ما أقدر أدفع أكثر من ستين دولار بالليلة,أخشى أنني لا أستطيع دفع أكثر من ستين دولارا في الليلة ,اخاف ما اقدر ادفع اكثر من ستين دولار بالليله,اخشا انني لا استطيع دفع اكثر من ستين دولارا في الليله 
6634,11134,corpus-6-train,MSA,سوف أخذ قهوة باللبن .,راح آخذ قهوة بالحليب.,راح آخذ قهوة بالحليب.,H,M,راح آخذ قهوة بالحليب,سوف أخذ قهوة باللبن ,راح آخذ قهوة بالحليب,سوف أخذ قهوة باللبن ,راح اخذ قهوه بالحليب,سوف اخذ قهوه باللبن 
6635,11135,corpus-6-train,MSA,بالتأكيد . املأ هذه الاستمارة ووقعها ، من فضلك .,اكيد. عبي هالاستمارة ووقعها، لو سمحت.,اكيد. عبي هالاستمارة ووقعها، لو سمحت.,H,M,اكيد عبي هالاستمارة ووقعها لو سمحت,بالتأكيد  املأ هذه الاستمارة ووقعها  من فضلك ,اكيد عبي هالاستمارة ووقعها لو سمحت,بالتأكيد  املأ هذه الاستمارة ووقعها  من فضلك ,اكيد عبي هالاستماره ووقعها لو سمحت,بالتاكيد  املا هذه الاستماره ووقعها  من فضلك 
6636,11136,corpus-6-train,MSA,يحسن بك ألا تسهر طيلة الليل .,زين إنك ما تسهر طول الليل.,أحسن لك لا تسهر طول الليل. ,H,M,أحسن لك لا تسهر طول الليل ,يحسن بك ألا تسهر طيلة الليل ,أحسن لك لا تسهر طول الليل ,يحسن بك ألا تسهر طيلة الليل ,احسن لك لا تسهر طول الليل ,يحسن بك الا تسهر طيله الليل 
6637,11137,corpus-6-train,MSA,في أي وقت يجب أن أعود للحافلة ؟,متى لازم أرجع للباص؟,متى لازم أرجع حق الباص ؟,H,M,متى لازم أرجع حق الباص ,في أي وقت يجب أن أعود للحافلة ,متى لازم أرجع حق الباص ,في أي وقت يجب أن أعود للحافلة ,متا لازم ارجع حق الباص ,في اي وقت يجب ان اعود للحافله 
6638,11140,corpus-6-train,MSA,ليس لدي شوكة .,ما عندي شوكة.,ما عندي شوكة.,H,M,ما عندي شوكة,ليس لدي شوكة ,ما عندي شوكة,ليس لدي شوكة ,ما عندي شوكه,ليس لدي شوكه 
6639,11142,corpus-6-train,MSA,هل لديكم رحلة إلى لاس فيجاس ؟,عندكم رحلة حق لاس فيجاس؟,عندكم رحلة حق لاس فيجاس؟,H,M,عندكم رحلة حق لاس فيجاس,هل لديكم رحلة إلى لاس فيجاس ,عندكم رحلة حق لاس فيجاس,هل لديكم رحلة إلى لاس فيجاس ,عندكم رحله حق لاس فيجاس,هل لديكم رحله الا لاس فيجاس 
6640,11143,corpus-6-train,MSA,لا أستطيع تحريك ساقي اليسرى لأنها تؤلمني كثيرا .,ما أقدر أحرك ريلي اليسرى لأنها تعورني وايد.,ما أقدر أحرك ريلي اليسرى لأنها تعورني وايد.,H,M,ما أقدر أحرك ريلي اليسرى لأنها تعورني وايد,لا أستطيع تحريك ساقي اليسرى لأنها تؤلمني كثيرا ,ما أقدر أحرك ريلي اليسرى لأنها تعورني وايد,لا أستطيع تحريك ساقي اليسرى لأنها تؤلمني كثيرا ,ما اقدر احرك ريلي اليسرا لانها تعورني وايد,لا استطيع تحريك ساقي اليسرا لانها تءلمني كثيرا 
6642,11145,corpus-6-train,MSA,هلا وضعت قليلاً من الماء في كوبي ؟,ممكن تحط لي شوية ماي بكوبي؟,ممكن تحط لي شوية ماي في كوبي؟,H,M,ممكن تحط لي شوية ماي في كوبي,هلا وضعت قليلا من الماء في كوبي ,ممكن تحط لي شوية ماي في كوبي,هلا وضعت قليلا من الماء في كوبي ,ممكن تحط لي شويه ماي في كوبي,هلا وضعت قليلا من الماء في كوبي 
6643,11147,corpus-6-train,MSA,أذكر أنني التقطت صورة في المطعم حيث تناولنا الغداء .,أذكر إني خذيت صورة بالمطعم اللي تغدينا فيه.,أذكر إني خذيت صورة بالمطعم اللي تغدينا فيه.,H,M,أذكر إني خذيت صورة بالمطعم اللي تغدينا فيه,أذكر أنني التقطت صورة في المطعم حيث تناولنا الغداء ,أذكر إني خذيت صورة بالمطعم اللي تغدينا فيه,أذكر أنني التقطت صورة في المطعم حيث تناولنا الغداء ,اذكر اني خذيت صوره بالمطعم اللي تغدينا فيه,اذكر انني التقطت صوره في المطعم حيث تناولنا الغداء 
6644,11148,corpus-6-train,MSA,لقد وصلت إلى هنا بقطار غادر لندن في الثانية عشرة وخمسين دقيقة .,وصلت هني بالقطار اللي طلع من لندن الساعة ١٢:٥٠.,وصلت هني بالقطار اللي طلع من لندن الساعة ١٢:٥٠.,H,M,وصلت هني بالقطار اللي طلع من لندن الساعة ١٢٥٠,لقد وصلت إلى هنا بقطار غادر لندن في الثانية عشرة وخمسين دقيقة ,وصلت هني بالقطار اللي طلع من لندن الساعة ١٢٥٠,لقد وصلت إلى هنا بقطار غادر لندن في الثانية عشرة وخمسين دقيقة ,وصلت هني بالقطار اللي طلع من لندن الساعه ١٢٥٠,لقد وصلت الا هنا بقطار غادر لندن في الثانيه عشره وخمسين دقيقه 
6645,11152,corpus-6-train,MSA,نعم ، لقد فعلت ، متى تعيدون إصدارها لي ؟,ايه، سويتها، متى بتعيدون إصدارها لي؟,ايه، سويتها، متى بتعيدون إصدارها لي؟,H,M,ايه سويتها متى بتعيدون إصدارها لي,نعم  لقد فعلت  متى تعيدون إصدارها لي ,ايه سويتها متى بتعيدون إصدارها لي,نعم  لقد فعلت  متى تعيدون إصدارها لي ,ايه سويتها متا بتعيدون اصدارها لي,نعم  لقد فعلت  متا تعيدون اصدارها لي 
6647,11156,corpus-6-train,MSA,مساء الخير . كم شخصاً في حفلتكم ؟,مساء الخير. كم واحد عندكم بالحفلة؟,مساك الله بالخير. جم واحد عندكم بالحفلة؟,H,M,مساك الله بالخير جم واحد عندكم بالحفلة,مساء الخير  كم شخصا في حفلتكم ,مساك الله بالخير جم واحد عندكم بالحفلة,مساء الخير  كم شخصا في حفلتكم ,مساك الله بالخير جم واحد عندكم بالحفله,مساء الخير  كم شخصا في حفلتكم 
6648,11157,corpus-6-train,MSA,من فضلك اذهب .,من فضلك روح.,من فضلك روح.,H,M,من فضلك روح,من فضلك اذهب ,من فضلك روح,من فضلك اذهب ,من فضلك روح,من فضلك اذهب 
6649,11158,corpus-6-train,MSA,"آسف , يا سيدي ، لكن حجوزاتنا قد اكتملت .",آسف، يا معود، بس حجوزاتنا اكتملت.,آسف، يا سيد، بس حجوزاتنا اكتملت.,H,M,آسف يا سيد بس حجوزاتنا اكتملت,آسف  يا سيدي  لكن حجوزاتنا قد اكتملت ,آسف يا سيد بس حجوزاتنا اكتملت,آسف  يا سيدي  لكن حجوزاتنا قد اكتملت ,اسف يا سيد بس حجوزاتنا اكتملت,اسف  يا سيدي  لكن حجوزاتنا قد اكتملت 
6650,11159,corpus-6-train,MSA,هلاّ دونت ذلك ، من فضلك ؟,ممكن تكتب هالشي، لو سمحت؟,ممكن تكتب هالشي، لو سمحت؟,H,M,ممكن تكتب هالشي لو سمحت,هلا دونت ذلك  من فضلك ,ممكن تكتب هالشي لو سمحت,هلا دونت ذلك  من فضلك ,ممكن تكتب هالشي لو سمحت,هلا دونت ذلك  من فضلك 
6651,11160,corpus-6-train,MSA,أريد الذهاب إلى الحمام .,أبي أروح الحمام.,أبي أروح الحمام.,H,M,أبي أروح الحمام,أريد الذهاب إلى الحمام ,أبي أروح الحمام,أريد الذهاب إلى الحمام ,ابي اروح الحمام,اريد الذهاب الا الحمام 
6652,11161,corpus-6-test-corpus-26-train,MSA,معدتي ثقيلة .,معِدتي ثقيلة.,معِدتي ثجيلة .,H,M,معدتي ثجيلة ,معدتي ثقيلة ,معدتي ثجيلة ,معدتي ثقيلة ,معدتي ثجيله ,معدتي ثقيله 
6653,11162,corpus-6-train,MSA,ما هو معدل التضخم ؟,شنو معدل التضخم؟,جم معدل التضخم؟,H,M,جم معدل التضخم,ما هو معدل التضخم ,جم معدل التضخم,ما هو معدل التضخم ,جم معدل التضخم,ما هو معدل التضخم 
6654,11163,corpus-6-train,MSA,إن فريق سينسيناتي ريدز يخسر بثلاثة جولات .,فريق سينسيناتي ريدز خسر بثلاث جولات.,فريق سينسيناتي ريدز خسر بثلاث جولات.,H,M,فريق سينسيناتي ريدز خسر بثلاث جولات,إن فريق سينسيناتي ريدز يخسر بثلاثة جولات ,فريق سينسيناتي ريدز خسر بثلاث جولات,إن فريق سينسيناتي ريدز يخسر بثلاثة جولات ,فريق سينسيناتي ريدز خسر بثلاث جولات,ان فريق سينسيناتي ريدز يخسر بثلاثه جولات 
6656,11166,corpus-6-train,MSA,نعم ، هلا أبلغته أن نوريكو أيتوه قد اتصل ؟,اي، هلا بلغته إن نوريكو أيتوه دقت؟,اي، بلغيه إن نوريكو أيتوه دقت؟,H,M,اي بلغيه إن نوريكو أيتوه دقت,نعم  هلا أبلغته أن نوريكو أيتوه قد اتصل ,اي بلغيه إن نوريكو أيتوه دقت,نعم  هلا أبلغته أن نوريكو أيتوه قد اتصل ,اي بلغيه ان نوريكو ايتوه دقت,نعم  هلا ابلغته ان نوريكو ايتوه قد اتصل 
6657,11167,corpus-6-train,MSA,أين يمكن أن أدفع أجر المسافة الإضافية ؟,وين أقدر أدفع حق المسافة الإضافية؟,وين أقدر أدفع حق المسافة الإضافية؟,H,M,وين أقدر أدفع حق المسافة الإضافية,أين يمكن أن أدفع أجر المسافة الإضافية ,وين أقدر أدفع حق المسافة الإضافية,أين يمكن أن أدفع أجر المسافة الإضافية ,وين اقدر ادفع حق المسافه الاضافيه,اين يمكن ان ادفع اجر المسافه الاضافيه 
6658,11168,corpus-6-train,MSA,أين الحافلة الخاصة بهذا الخط ؟,وين الباص مال هالخط؟,وين الباص مال هالخط؟,H,M,وين الباص مال هالخط,أين الحافلة الخاصة بهذا الخط ,وين الباص مال هالخط,أين الحافلة الخاصة بهذا الخط ,وين الباص مال هالخط,اين الحافله الخاصه بهذا الخط 
6659,11170,corpus-6-train,MSA,أريد بعضاً من سمك موسى .,أبي شوية من سمج موسى.,أبي شوية من سمج موسى.,H,M,أبي شوية من سمج موسى,أريد بعضا من سمك موسى ,أبي شوية من سمج موسى,أريد بعضا من سمك موسى ,ابي شويه من سمج موسا,اريد بعضا من سمك موسا 
6660,11171,corpus-6-test-corpus-26-dev,MSA,يبدو هذا جيدا ، أين يمكن أن ننتظرك ؟,يبدو هالشي زين، وين نقدر ننطرك؟,مبين هذا زين، وين نقدر ننطرك؟,H,M,مبين هذا زين وين نقدر ننطرك,يبدو هذا جيدا  أين يمكن أن ننتظرك ,مبين هذا زين وين نقدر ننطرك,يبدو هذا جيدا  أين يمكن أن ننتظرك ,مبين هذا زين وين نقدر ننطرك,يبدو هذا جيدا  اين يمكن ان ننتظرك 
6661,11174,corpus-6-test-corpus-26-train,MSA,هل يمكن أن نبدأ اللعب عندما ينتهون ؟,نقدر نبلش اللعب لما يخلصون؟,نقدر نبلش اللعب لما يخلصون؟,H,M,نقدر نبلش اللعب لما يخلصون,هل يمكن أن نبدأ اللعب عندما ينتهون ,نقدر نبلش اللعب لما يخلصون,هل يمكن أن نبدأ اللعب عندما ينتهون ,نقدر نبلش اللعب لما يخلصون,هل يمكن ان نبدا اللعب عندما ينتهون 
6662,11177,corpus-6-train,MSA,هل سأعاقبك على البكاء من غير سبب ؟,هل بعاقبك على البچي بدون سبب؟,هل راح أعاقبك على البچي بدون سبب؟,H,M,هل راح أعاقبك على البچي بدون سبب,هل سأعاقبك على البكاء من غير سبب ,هل راح أعاقبك على البچي بدون سبب,هل سأعاقبك على البكاء من غير سبب ,هل راح اعاقبك علا البچي بدون سبب,هل ساعاقبك علا البكاء من غير سبب 
6663,11179,corpus-6-train,MSA,سقطت من على السلم .,طحت من على الدري.,طحت من على الدري.,H,M,طحت من على الدري,سقطت من على السلم ,طحت من على الدري,سقطت من على السلم ,طحت من علا الدري,سقطت من علا السلم 
6664,11182,corpus-6-train,MSA,أغسل هذا قبل التاسعة من صباح الغد .,اغسل هالشي قبل الساعة تسع الصبح باجر.,اغسل هذا قبل الساعة تسع الصبح باجر.,H,M,اغسل هذا قبل الساعة تسع الصبح باجر,أغسل هذا قبل التاسعة من صباح الغد ,اغسل هذا قبل الساعة تسع الصبح باجر,أغسل هذا قبل التاسعة من صباح الغد ,اغسل هذا قبل الساعه تسع الصبح باجر,اغسل هذا قبل التاسعه من صباح الغد 
6665,11183,corpus-6-train,MSA,أريد الذهاب لصيد السمك .,أبي أروح أصيد سمچ.,أبي أروح أصيد سمچ.,H,M,أبي أروح أصيد سمچ,أريد الذهاب لصيد السمك ,أبي أروح أصيد سمچ,أريد الذهاب لصيد السمك ,ابي اروح اصيد سمچ,اريد الذهاب لصيد السمك 
6666,11184,corpus-6-train,MSA,إنها تقدم لنا قهوة ذات جودة عالية .,اهي تقدم لنا قهوة جودتها عالية.,اهيا تقدم لنا قهوة جودتها عالية.,H,M,اهيا تقدم لنا قهوة جودتها عالية,إنها تقدم لنا قهوة ذات جودة عالية ,اهيا تقدم لنا قهوة جودتها عالية,إنها تقدم لنا قهوة ذات جودة عالية ,اهيا تقدم لنا قهوه جودتها عاليه,انها تقدم لنا قهوه ذات جوده عاليه 
6667,11185,corpus-6-train,MSA,هل يمكن أن تصلح كعب هذا الحذاء لي ؟,ممكن تصلحلي كعب هالحذاء؟,ميخالف تصلحلي كعب هالجوتي ؟,H,M,ميخالف تصلحلي كعب هالجوتي ,هل يمكن أن تصلح كعب هذا الحذاء لي ,ميخالف تصلحلي كعب هالجوتي ,هل يمكن أن تصلح كعب هذا الحذاء لي ,ميخالف تصلحلي كعب هالجوتي ,هل يمكن ان تصلح كعب هذا الحذاء لي 
6668,11186,corpus-6-train,MSA,أريد أن أعرف موعد مغادرة رحلتي الجوية الواصلة .,أبي أعرف متى تطلع رحلتي اللي واصلة.,أبي أعرف متى تطلع رحلتي اللي واصلة.,H,M,أبي أعرف متى تطلع رحلتي اللي واصلة,أريد أن أعرف موعد مغادرة رحلتي الجوية الواصلة ,أبي أعرف متى تطلع رحلتي اللي واصلة,أريد أن أعرف موعد مغادرة رحلتي الجوية الواصلة ,ابي اعرف متا تطلع رحلتي اللي واصله,اريد ان اعرف موعد مغادره رحلتي الجويه الواصله 
6669,11188,corpus-6-train,MSA,إنه هناك بالضبط . من فضلك لا بأس أن تأخذ واحدة .,إي هو هناك بالضبط. عادي خد لك وحدة إذا تبي.,إي أهوا هناك بالضبط. عادي إخذ لك وحدة إذا تبي.,H,M,إي أهوا هناك بالضبط عادي إخذ لك وحدة إذا تبي,إنه هناك بالضبط  من فضلك لا بأس أن تأخذ واحدة ,إي أهوا هناك بالضبط عادي إخذ لك وحدة إذا تبي,إنه هناك بالضبط  من فضلك لا بأس أن تأخذ واحدة ,اي اهوا هناك بالضبط عادي اخذ لك وحده اذا تبي,انه هناك بالضبط  من فضلك لا باس ان تاخذ واحده 
6670,11189,corpus-6-train,MSA,هل يمكن أن نستخدم معلب التنس عصر اليوم ؟,ممكن نستخدم ملعب التنس اليوم العصر؟,ميخالف نستخدم ملعب التنس اليوم العصر؟,H,M,ميخالف نستخدم ملعب التنس اليوم العصر,هل يمكن أن نستخدم معلب التنس عصر اليوم ,ميخالف نستخدم ملعب التنس اليوم العصر,هل يمكن أن نستخدم معلب التنس عصر اليوم ,ميخالف نستخدم ملعب التنس اليوم العصر,هل يمكن ان نستخدم معلب التنس عصر اليوم 
6671,11190,corpus-6-test-corpus-26-train,MSA,تعداد سكان اليابان حوالي مائة وعشرينا مليونا .,عدد سكان اليابان حوالي مية وعشرين مليون.,عدد سكان اليابان حوالي مية وعشرين مليون.,H,M,عدد سكان اليابان حوالي مية وعشرين مليون,تعداد سكان اليابان حوالي مائة وعشرينا مليونا ,عدد سكان اليابان حوالي مية وعشرين مليون,تعداد سكان اليابان حوالي مائة وعشرينا مليونا ,عدد سكان اليابان حوالي ميه وعشرين مليون,تعداد سكان اليابان حوالي ماءه وعشرينا مليونا 
6672,11192,corpus-6-train,MSA,هلاّ أحضرت لي الإفطار في الثامنة من صباح الغد ؟,هلا تقدر تيب لي ريوق الساعه ثمان الصبح باجر؟, تقدر تييب لي ريوق الساعه ثمان الصبح باجر؟,H,M, تقدر تييب لي ريوق الساعه ثمان الصبح باجر,هلا أحضرت لي الإفطار في الثامنة من صباح الغد , تقدر تييب لي ريوق الساعه ثمان الصبح باجر,هلا أحضرت لي الإفطار في الثامنة من صباح الغد , تقدر تييب لي ريوق الساعه ثمان الصبح باجر,هلا احضرت لي الافطار في الثامنه من صباح الغد 
6673,11193,corpus-6-train,MSA,هل أنت من هنا ؟,إنت من هني؟,إنت من هني؟,H,M,إنت من هني,هل أنت من هنا ,إنت من هني,هل أنت من هنا ,انت من هني,هل انت من هنا 
6675,11197,corpus-6-test-corpus-26-train,MSA,املأ البنود الآتية في بطاقة التسجيل .,عَبّي الخانات اللي جدامك في بطاقة التسجيل.,عَبّي الخانات اللي جدامك في بطاقة التسجيل.,H,M,عبي الخانات اللي جدامك في بطاقة التسجيل,املأ البنود الآتية في بطاقة التسجيل ,عبي الخانات اللي جدامك في بطاقة التسجيل,املأ البنود الآتية في بطاقة التسجيل ,عبي الخانات اللي جدامك في بطاقه التسجيل,املا البنود الاتيه في بطاقه التسجيل 
6676,11198,corpus-6-train,MSA,أين يمكن أن اركب الحافلة إلى موقف المدينة العمومي ؟,وين أقدر أركب الباص للموقف العمومي مال المدينة؟,وين أقدر أركب الباص للموقف العمومي مال المدينة؟,H,M,وين أقدر أركب الباص للموقف العمومي مال المدينة,أين يمكن أن اركب الحافلة إلى موقف المدينة العمومي ,وين أقدر أركب الباص للموقف العمومي مال المدينة,أين يمكن أن اركب الحافلة إلى موقف المدينة العمومي ,وين اقدر اركب الباص للموقف العمومي مال المدينه,اين يمكن ان اركب الحافله الا موقف المدينه العمومي 
6678,11201,corpus-6-dev,MSA,لديك عينان جميلتان .,عندچ/عندك عيون حلوة.,عندچ/عندك عيون حلوة.,H,M,عندچعندك عيون حلوة,لديك عينان جميلتان ,عندچعندك عيون حلوة,لديك عينان جميلتان ,عندچعندك عيون حلوه,لديك عينان جميلتان 
6679,11203,corpus-6-train,MSA,أين مقعدي ، من فضلك ؟,وين قعدتي، لو سمحت؟,وين كرسيي ، لو سمحت؟,H,M,وين كرسيي  لو سمحت,أين مقعدي  من فضلك ,وين كرسيي  لو سمحت,أين مقعدي  من فضلك ,وين كرسيي  لو سمحت,اين مقعدي  من فضلك 
6680,11211,corpus-6-train,MSA,أريد مرشح للأشعة فوق البنفسجية ، من فضلك .,أبي واقي شمس لو سمحت.,أبي واقي حق  الشمس لو سمحت.,H,M,أبي واقي حق  الشمس لو سمحت,أريد مرشح للأشعة فوق البنفسجية  من فضلك ,أبي واقي حق  الشمس لو سمحت,أريد مرشح للأشعة فوق البنفسجية  من فضلك ,ابي واقي حق  الشمس لو سمحت,اريد مرشح للاشعه فوق البنفسجيه  من فضلك 
6681,11212,corpus-6-train,MSA,هل يمكن أن أرى أرخص من هذه ؟,ممكن أشوف شي أرخص من هذي؟,ممكن أشوف شي أرخص من هذي؟,H,M,ممكن أشوف شي أرخص من هذي,هل يمكن أن أرى أرخص من هذه ,ممكن أشوف شي أرخص من هذي,هل يمكن أن أرى أرخص من هذه ,ممكن اشوف شي ارخص من هذي,هل يمكن ان ارا ارخص من هذه 
6682,11213,corpus-6-train,MSA,أريد منضدة لغير المدخنين ، من فضلك .,أبي طاولة لغير المدخنين، لو سمحت.,أبي طاولة  حق غير المدخنين، لو سمحت.,H,M,أبي طاولة  حق غير المدخنين لو سمحت,أريد منضدة لغير المدخنين  من فضلك ,أبي طاولة  حق غير المدخنين لو سمحت,أريد منضدة لغير المدخنين  من فضلك ,ابي طاوله  حق غير المدخنين لو سمحت,اريد منضده لغير المدخنين  من فضلك 
6683,11214,corpus-6-train,MSA,هل هذه هي أفضل نوعية عندكم ؟,هاذي أحسن نوعية عندكم؟,هاذي أحسن نوعية عندكم؟,H,M,هاذي أحسن نوعية عندكم,هل هذه هي أفضل نوعية عندكم ,هاذي أحسن نوعية عندكم,هل هذه هي أفضل نوعية عندكم ,هاذي احسن نوعيه عندكم,هل هذه هي افضل نوعيه عندكم 
6684,11216,corpus-6-train,MSA,ماذا تحب سيدتي أن تشرب ؟,شنو تحب تشرب سيدتي؟,شنو تحبين تشربين ؟ ,H,M,شنو تحبين تشربين  ,ماذا تحب سيدتي أن تشرب ,شنو تحبين تشربين  ,ماذا تحب سيدتي أن تشرب ,شنو تحبين تشربين  ,ماذا تحب سيدتي ان تشرب 
6685,11217,corpus-6-dev,MSA,عفوا ، هل تذهب إلى الثالث والسابع والعشرين ؟,عفواً، تروح لثلاثة وعشرين وسبعة وعشرين؟,عفواً، تروح لثلاثة وعشرين وسبعة وعشرين؟,H,M,عفوا تروح لثلاثة وعشرين وسبعة وعشرين,عفوا  هل تذهب إلى الثالث والسابع والعشرين ,عفوا تروح لثلاثة وعشرين وسبعة وعشرين,عفوا  هل تذهب إلى الثالث والسابع والعشرين ,عفوا تروح لثلاثه وعشرين وسبعه وعشرين,عفوا  هل تذهب الا الثالث والسابع والعشرين 
6686,11218,corpus-6-train,MSA,معذرة ، أين البار ؟,عذرًا، وين البار؟,العفو ، وين المقهى ؟,H,M,العفو  وين المقهى ,معذرة  أين البار ,العفو  وين المقهى ,معذرة  أين البار ,العفو  وين المقها ,معذره  اين البار 
6688,11222,corpus-6-train,MSA,"حسنا , سوف أستدعيك فيما بعد ، شكراً .",زین، راح أدق عليك بعدين، مشكور.,زین، راح أناديك بعدين، مشكور.,H,M,زین راح أناديك بعدين مشكور,حسنا  سوف أستدعيك فيما بعد  شكرا ,زین راح أناديك بعدين مشكور,حسنا  سوف أستدعيك فيما بعد  شكرا ,زین راح اناديك بعدين مشكور,حسنا  سوف استدعيك فيما بعد  شكرا 
6689,11223,corpus-6-train,MSA,هل يوجد هناك ملعبا ؟,في ملعب هني؟,في ملعب هني؟,H,M,في ملعب هني,هل يوجد هناك ملعبا ,في ملعب هني,هل يوجد هناك ملعبا ,في ملعب هني,هل يوجد هناك ملعبا 
6690,11225,corpus-6-train,MSA,"هل لديك تذكرتان لمسرحية "" الجميلة والوحش "" يوم الأربعاء ؟","عندك تذكرتين حق مسرحية ""الجميلة والوحش"" يوم الأربعاء؟","عندك تذكرتين حق مسرحية ""الجميلة والوحش"" حق يوم الأربعا ؟",H,M,عندك تذكرتين حق مسرحية الجميلة والوحش حق يوم الأربعا ,هل لديك تذكرتان لمسرحية  الجميلة والوحش  يوم الأربعاء ,عندك تذكرتين حق مسرحية الجميلة والوحش حق يوم الأربعا ,هل لديك تذكرتان لمسرحية  الجميلة والوحش  يوم الأربعاء ,عندك تذكرتين حق مسرحيه الجميله والوحش حق يوم الاربعا ,هل لديك تذكرتان لمسرحيه  الجميله والوحش  يوم الاربعاء 
6692,11227,corpus-6-train,MSA,متى نصل إلى نيويورك ؟,متى نوصل نيويورك؟,متى نوصل نيويورك؟,H,M,متى نوصل نيويورك,متى نصل إلى نيويورك ,متى نوصل نيويورك,متى نصل إلى نيويورك ,متا نوصل نيويورك,متا نصل الا نيويورك 
6693,11228,corpus-6-dev,MSA,ليس هذا مشكلة . لقد وضعنا هذا النوع من المواقف بالضبط في حساباتنا .,مو مشكلة هذي. احنا حاطين هالنوع من المواقف بالحسبان.,هذي مو مشكلة . احنا حاطين هالنوع من المواقف بالحسبان.,H,M,هذي مو مشكلة  احنا حاطين هالنوع من المواقف بالحسبان,ليس هذا مشكلة  لقد وضعنا هذا النوع من المواقف بالضبط في حساباتنا ,هذي مو مشكلة  احنا حاطين هالنوع من المواقف بالحسبان,ليس هذا مشكلة  لقد وضعنا هذا النوع من المواقف بالضبط في حساباتنا ,هذي مو مشكله  احنا حاطين هالنوع من المواقف بالحسبان,ليس هذا مشكله  لقد وضعنا هذا النوع من المواقف بالضبط في حساباتنا 
6694,11229,corpus-6-train,MSA,يجب أن أذهب الآن .,لازم أروح الحين.,لازم أروح الحين.,H,M,لازم أروح الحين,يجب أن أذهب الآن ,لازم أروح الحين,يجب أن أذهب الآن ,لازم اروح الحين,يجب ان اذهب الان 
6695,11230,corpus-6-train,MSA,أخشى ألا يصل إلا في الغد .,أخاف إنه ما يوصل إلا باچر.,أخاف إنه ما يوصل إلا باچر.,H,M,أخاف إنه ما يوصل إلا باچر,أخشى ألا يصل إلا في الغد ,أخاف إنه ما يوصل إلا باچر,أخشى ألا يصل إلا في الغد ,اخاف انه ما يوصل الا باچر,اخشا الا يصل الا في الغد 
6697,11235,corpus-6-train,MSA,أين أقرب صيدلية ليلية ؟,وين أقرب صيدلية تفتح بالليل؟,وين أقرب صيدلية تفتح بالليل؟,H,M,وين أقرب صيدلية تفتح بالليل,أين أقرب صيدلية ليلية ,وين أقرب صيدلية تفتح بالليل,أين أقرب صيدلية ليلية ,وين اقرب صيدليه تفتح بالليل,اين اقرب صيدليه ليليه 
6698,11237,corpus-6-train,MSA,هل يكون مقبولاً لو أخذنا الحلوى فقط ؟,يصير ناخذ الحلوى بس؟,يصير ناخذ الحلوى بس؟,H,M,يصير ناخذ الحلوى بس,هل يكون مقبولا لو أخذنا الحلوى فقط ,يصير ناخذ الحلوى بس,هل يكون مقبولا لو أخذنا الحلوى فقط ,يصير ناخذ الحلوا بس,هل يكون مقبولا لو اخذنا الحلوا فقط 
6699,11238,corpus-6-train,MSA,حسنا ، فلنتفحص كل شيء بشكل شامل .,زین، خل نفحص كل شي عدل.,زین، خل نفحص كل شي عدل.,H,M,زین خل نفحص كل شي عدل,حسنا  فلنتفحص كل شيء بشكل شامل ,زین خل نفحص كل شي عدل,حسنا  فلنتفحص كل شيء بشكل شامل ,زین خل نفحص كل شي عدل,حسنا  فلنتفحص كل شيء بشكل شامل 
